Incident,Location,Date Reported,Incident/Case#,Date Occurred,Time Occurred,Summary,Disposition
Security Alarm,Mayer Hall,12/16/2021,2112160028,12/16/2021,12:55 PM,,False Alarm
Petty Theft - Bicycle,Central Mesa Apts,12/16/2021,2021-1475,12/15/2021,10:17 AM,Loss $200.00,Report Taken
Petty Theft - Bicycle,Scholars Dr North,12/16/2021,2021-1474,11/24/2021 - 12/06/2021,4:00 PM - 4:00 PM,Loss $415.00,Report Taken
Medical Aid,Rebecca And John Moores Cancer Center,12/16/2021,2112160033,12/16/2021,2:51 PM,"Patient in lab vomiting, has fever, rapid heart rate",Referred To Other Agency - San Diego Fire Department
Stolen Vehicle,Glider Port,12/16/2021,2112160034,12/16/2021,3:22 PM,,Referred To Other Agency - San Diego Police Department
Welfare Check,UCSD Residential Area,12/16/2021,2112160035,12/16/2021,3:43 PM,Male made suicidal threats to reporting party,Service Provided
Non Injury Traffic Collision,Regents Pizzeria,12/16/2021,2112160039,12/16/2021,6:50 PM,,Referred To Other Agency - San Diego Police Department
Petty Theft - Bicycle,Central Mesa Apts,12/16/2021,2021-1476,12/13/2021 - 12/16/2021,12:00 PM - 6:50 PM,Loss $125.00,Report Taken
Petty Theft -  Bicycle,Structural & Material Engineering Bldg,12/16/2021,2021-1477,12/16/2021,7:00 AM - 7:00 PM,Loss $340.00,Report Taken
Incomplete / Accidental Wireless 911 Call,North Torrey Pines Rd,12/16/2021,2112160047,12/16/2021,8:40 PM,,Logged Event
Medical Aid,Seventh College West #6,12/16/2021,2112160049,12/16/2021,9:52 PM,"Reporting party's sister passed out, is now conscious and breathing",Transported To Hospital
Drunk Driving,North Torrey Pines Rd,12/17/2021,2112170003,12/17/2021,1:24 AM,,Referred To Other Agency - San Diego Police Department
Incomplete/Accidental Wireless 911 Call,Veterans Affairs Medical Center,12/17/2021,2112170005,12/17/2021,2:10 AM,,Logged Event
Security Alarm,Cashiers Office,12/17/2021,2112170007,12/17/2021,5:14 AM,,False Alarm
Information,Veterans Affairs Medical Center,12/17/2021,2112170009,12/17/2021,6:08 AM,Patient parking lot lights out,Referred To Other UCSD Department - Central Plant
Animal Call,Holiday Ct.,12/17/2021,2112170010,12/17/2021,6:28 AM,"Via 911, report of cat inside hood of car",Referred To Other Agency - Animal Control
Domestic Violence Incident,UCSD Residential Area,12/17/2021,2021-1480,12/17/2021,8:20 AM,Loud verbal argument between couple,Disposition Report Taken
Security Alarm,Gilman Parking Structure,12/17/2021,2112170018,12/17/2021,8:30 AM,,Cancelled
Fire Alarm,Argo Hall,12/17/2021,2112170019,12/17/2021,9:24 AM,,False Alarm
Non Injury Collision,Sheraton Hotel,12/17/2021,2112170022,12/17/2021,10:14 AM,,Referred To Other Agency - San Diego Police Department
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,12/17/2021,2112170025,12/17/2021,10:30 AM,,Logged Event
Fire Alarm,Central Utilities Plant,12/17/2021,2112170027,12/17/2021,11:22 AM,,Disposition False Alarm
Fire Alarm,Geisel Library,12/17/2021,2112170028,12/17/2021,11:58 AM,,False Alarm
Security Alarm,Student Services Center,12/17/2021,2112170029,12/17/2021,12:14 PM,,False Alarm
Animal Call,Villa La Jolla Dr/Holiday Ct,12/17/2021,2112170030,12/17/2021,12:22 PM,"Via 911, animal stuck in engine",Referred To Other Agency - Animal Control
Security Alarm,Student Services Center - Computer Training Center,12/17/2021,2112170032,12/17/2021,12:59 PM,,False Alarm
Security Alarm,Student Services Center - Student Legal Services,12/17/2021,2112170033,12/17/2021,1:04 PM,,False Alarm
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,12/17/2021,2112170034,12/17/2021,1:07 PM,,Logged Event
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,12/17/2021,2112170035,12/17/2021,2:08 PM,,Logged Event
Disturbance,Villa La Jolla Dr,12/17/2021,2112170038,12/17/2021,3:02 PM,,Referred To Other Agency - San Diego Police Department
Skateboard Stop,Solis Hall,12/17/2021,2112170042,12/17/2021,4:07 PM,Group of skaters using location as indoor skateboard park,Information Only
Petty Theft - Bicycle,Artesa,12/17/2021,2021-1489,12/6/2021 - 12/17/20251,5:30 PM-1:30 PM,Loss $500.00,Online Report
Petty Theft - Bicycle,Keeling Apartments,12/17/2021,2021-1490,12/10/2021 - 12/17/2021,Unknown,Loss $299.99,Online Report
Security Alarm,Theatre District Living & Learning,12/17/2021,2112170047,12/17/2021,5:36 PM,,False Alarm
Vehicle Burglary,Lot 017,12/17/2021,2021-1481,12/17/2021,4:35 PM-5:55 PM,"Unknown suspect(s) forced entry into victim's vehicle and stole miscellaneous items, loss $387.00",Report Taken
Welfare Check,Central Mesa Apartments,12/17/2021,2112170051,12/17/20251,7:01 PM,"Adult male sitting on sidewalk, yelling into air",Field Interview
Public Intoxication,Library Walk,12/17/2021,2021-1482,12/17/2021,7:06 PM,Original call for welfare check of subject yelling and crying,Closed By Adult Arrest
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,12/17/2021,2112170055,12/17/2021,9:27 PM,,Logged Event
UC Policy Violation,Mesa Nueva - Cala,12/17/2021,2021-1483,12/17/2021,9:31 PM,"Uncooperative subjects inside pool are, made verbal threat to assault University Safety Officer",Report Taken
Medical Aid,Nuevo West - Brisa,12/17/2021,2112170059,12/17/2021,10:18 PM,Adult female experiencing chest pains,Checks OK
Attempted Battery,UCSD Medical Center - La Jolla - Emergency Room,12/17/2021,LJ21-12-16-0675,12/16/2021,7:50 AM,Psych patient attempted to strike medical staff while being escorted back to room,Hospital Security Report Taken
Suspicious Vehicle,One Miramar Parking Structure,12/18/2021,2112180006,12/18/2021,3:50 AM,,Cancelled
Petty Theft ,Marshall Upper Apts J - Laundry Room,12/18/2021,2021-1491,12/17/2021,2:00 AM - 3:00 AM,"Victim's clothing stolen from dryer, Loss $120.00",Online Report
Suspicious Vehicle,UCSD Mesa Housing ,12/18/2021,2021-1484,12/18/2021,3:51 AM - 5:57 AM,"Vehicle driving around Mesa housing area, with bikes in bed of truck",Cleared By Adult Arrest - Citation Issued
Petty Theft ,Nuevo West - Parking Structure,12/18/2021,2021-1485,12/17/2021 - 12/18/2021,10:00 pm - 3:55 am,"Unknown suspect(s) reached into open window of victim's vehicle and stole miscellaneous property, loss $360.00",Report Taken
Under Influence of Drugs,Spanos Athletic Training Facility,12/18/2021,2112180011,12/18/2021,6:54 AM,Female dancing and cursing at passersby,Gone On Arrival
Suspicious Person,"Mobil Gas Station, La Jolla Village Dr",12/18/2021,2112180018,12/18/2021,12:43 PM,,Referred To Other Agency - San Diego Police Department
Fire Alarm,Africa Hall,12/18/2021,2112180020,12/18/2021,1:32 PM,,Disposition False Alarm
Vehicle Burglary,One Miramar St Bldg 2,12/18/2021,2112180022,12/18/2021,2:01 PM,"Victim's vehicle opened and appears to have been rummaged through, no loss reported",Service Provided
Ticket Sign Off,UCSD Police Department,12/18/2021,2112180033,12/18/2021,5:28 PM,,Service Provided
Welfare Check,Marshall Lower Apts A,12/18/2021,2112180033,12/18/2021,5:39 PM,"Patent has not heard from student since 12/8/2021, not answering calls or text messages",Checks OK
Security Alarm,University Center 112,12/18/2021,2112180035,12/18/2021,7:13 PM,,False Alarm
Suspicious Person,Pepper Canyon Apts 900,12/18/2021,2112180040,12/18/2021,8:48 PM,Report of 2 unknown males seen looking into apartments,Field Interview
Attempt Petty Theft - Bicycle,Seventh College West #2,12/18/2021,2021-1486,12/18/2021,10:25 pm - 10:45 pm,Reporting party observed unknown male cutting bike lock,Cleared By Adult Arrest - Citation Issued
Petty Theft - Bicycle ,Seventh College West #2,12/19/2021,2021-1487,12/19/2021,12:07 AM,"Suspect arrested, after officers received report of possible bike theft in progress, loss/recovery $400.00",Closed By Adult Arrest
Medical Aid ,ERC - Asante House,12/19/2021,2112190003,12/19/2021,12:26 AM,"Female with preexisting condition spitting up blood, conscious and breathing",Transported To Hospital
Unknown Injury Collision,Interstate 5/Old Town Avenue,12/19/2021,2112190008,12/19/2021,2:34 AM,Motorcyclist down,Referred to Other Agency - California Highway Patrol
Suspicious Person,Nuevo West,12/19/2021,2112190011,12/19/2021,4:32 AM,,Checks OK
Welfare Check,Glider Port,12/19/2021,2112190012,12/19/2021,5:48 AM,"Caller feels unsafe with subject in vehicle, who threatened suicide",Referred to Other Agency - San Diego Police Department
Medical Aid,La Jolla Shores Dr,12/19/2021,2112190013,12/19/2021,6:57 AM,Female having an anxiety attack,Disposition Referred to Other Agency - San Diego Fire Department
Disturbance - General,UCSD Health - Trolley Station,12/19/2021,2112190014,12/19/2021,7:04 AM,Subject in distress over issues with her trolley ticket,Service Provided
Incomplete/Accidental Wireless 911 Call,La Jolla Shores Dr,12/19/2021,2112100015,7:13 AM,12/19/2021,,Logged Event
Incomplete/Accidental Landline 911 Call,UCSD Police Department,12/19/2021,2112190019,12/19/2021,10:28 AM,,Logged Event
Suspicious Person,Campus Point Parking East,12/19/2021,2112190020,12/19/2021,10:36 AM,Subject attempted to get inside of reporting party's vehicle thru passenger door,Gone on Arrival
Incomplete/Accidental Wireless 911 Call,La Jolla Farms Road,12/19/2021,2112190021,12/19/2021,10:37 AM,,Logged Event
Petty Theft - Bicycle,One Miramar Street Bldg 2,12/19/2021,2021-1492,12/17/2021 - 12/18/2021,12:00 PM - 12:00:00 PM,Loss $500.0,Report Taken
Tampering with a Vehicle,Nuevo West Parking Structure,12/19/2021,2112190028,12/16/2021 - 12/18/2021,12:00 AM - 12:00 PM,Reporting party's front hood to car was pried open,Service Provided
Citizen Contact,UCSD Police Station,12/19/2021,2112190030,12/19/2021,1:45 PM,Reporting party searching for lost cell phone,Service Provided
Citizen Contact,Veterans Affair Medical Center,12/19/2021,2112190033,12/19/2021,3:45 PM,Subject spending the night in the VA Lot,Checks OK
Medical Aid,Regents Road,12/19/2021,2112190040,12/19/2021,6:17 PM,Roommate having physical pain and is non-responsive,Referred to Other Agency - San Diego Fire Department
Information,Structural and Materials engineering Bldg,12/19/2021,2112190041,12/19/2021,6:52 PM,Unknown subject driving by and yelling unknown words to reporting party,Information Only
Suspicious Person,NOAA Southwest Fisheries Science Center,12/19/2021,2112190045,12/19/2021,9:11 PM,Male seen carrying and rolling a bike,Referred to Other Agency - San Diego Police Department
Domestic Violence Incident,UCSD Residential Area,12/19/2021,2021-1493,12/19/2021,9:26 PM,,Report Taken
Attempted Theft ,Seventh College East,12/19/2021,2021-1494,12/19/2021,9:28 PM,Female and male suspects seen attempting to steal bicycles,Report Taken
Incomplete/Accidental Wireless 911 call,UCSD Police Department,12/19/2021,2112190051,12/19/2021,10:45 PM,,Logged Event
Welfare Check,One Miramar Street Bldg 4,12/19/2021,2112190052,12/19/2021,11:08 PM,Uber driver reporting having a passenger who is semi-conscious and refusing to get out,Service Provided
Quiet Hours Contact,Nuevo East Piedra,12/19/2021,2112190053,12/19/2021,11:42 PM,,Will Cooperate
Attempt To Contact,Seventh College West #1,12/20/2021,2112200002,12/20/2021,12:05 AM,Parent unable to contact student who did not arrive for scheduled pick up time,Service Provided
Disturbance,Thornton Pavilion,12/20/2021,2112200006,12/20/2021,2:12 AM,,Cancelled
Security Alarm,Preuss School Bldg E,12/20/2021,2112200008,12/20/2021,3:38 AM,,False Alarm
Incomplete / Accidental Wireless 911 Call,Caminito Verano,12/20/2021,2112200014,12/20/2021,7:47 AM,,Logged Event
Security Alarm,Student Services Center,12/20/2021,2112200019,12/20/2021,9:16 AM,,False Alarm
Welfare Check,North Torrey pines Rd / La Jolla Shores Dr,12/20/2021,2112200020,12/20/2021,9:23 AM,"Officers requesting trash clean up for found mattress, following a report of possible subject lying on corner",Disposition Referred To Other Agency - San Diego City Shops
Traffic Collision With Injury,La Jolla Del Sol / Regents Rd,12/20/2021,2021-1495,12/20/2021,8:10 AM,,Report Taken
Suspicious Person,Pacific Hall,12/20/2021,2112200024,12/20/2021,10:58 AM,Second hand information regarding unknown male in area yelling obscenities,Unable To Locate
Fire Alarm,Altman Clinical Translational Research,12/20/2021,2112200026,12/20/2021,11:29 AM,,False Alarm
Welfare Check,La Jolla Village Dr / Interstate 5,12/20/2021,2112200027,12/20/2021,11:46 AM,Elderly person's vehicle broken down in middle of roadway,Referred To Other Agency - California Highway Patrol
Welfare Check,Pepper Canyon Apts,12/20/2021,2112200028,12/20/2021,12:00 PM,"Father has not heard from student since Thanksgiving, not answering calls or text messages",Checks OK
Medical Aid,Price Center East Expansion,12/20/2021,2112200030,12/20/2021,12:39 PM,"Female passed out, is now conscious and breathing",Transported To Hospital
Citizen Contact,Kathmandu House West,12/20/2021,2112200031,12/20/2021,12:43 PM,Caller attempting to contact former roommate to obtain medication,Service Provided
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,12/20/2021,2112200032,12/20/2021,13:58,,Logged Event
Incomplete / Accidental Wireless 911 Call,Nuevo East - Porton,12/20/2021,2112200033,12/20/2021,1:59 PM,,Logged Event
Medical Aid,Campus Point Parking West,12/20/2021,2112200035,12/20/2021,2:58 PM,Subject fell and had seizure,Referred To Other Agency - San Diego Fire Department
Voluntary Psych Referral,Galbraith Hall,12/20/2021,2021-1498,12/20/2021,3:04 PM - 6:08 PM,,Transported To Hospital
Incomplete / Accidental Landline 911 Call,UCSD Police Department,12/20/2021,2112200038,12/20/2021,4:30 PM,,Logged Event
Non Injury Traffic Collision,Gilman Parking Structure,12/20/2021,2021-1496,12/13/2021 - 12/20/2021,6:00 AM - 5:40 PM,,Report Taken
Petty Theft,Seventh College West #3,12/20/2021,2021-1497,12/20/2021,11:00 AM - 1:15 PM,"victim's clothing stolen from dryer, Loss $52.00",Report Taken
Grand Theft,Nuevo West - Parking Structure,12/20/2021,2021-1499,12/19/2021 - 12/20/2021,1:00 pm - 3:00 pm,"Catalytic converter stolen from victim's vehicle, Loss $2,000.00",Report Taken
Welfare Check,Jacobs Medical Center,12/20/2021,2021-1500,12/20/2021,6:28 PM,"Female left infant with reporting party, after stating she was having suicidal ideations and was going to hospital to seek help",Report Taken
Incomplete / Accidental Landline 911 Call,Nuevo East - Tierra,12/20/2021,2112200051,12/21/2021,8:01 PM,,Logged Event
Welfare Check,"USE Credit Union, Gilman Dr / Russell Ln",12/20/2021,2112200053,12/20/2021,8:22 PM,Transient sleeping in bushes in front of location,Field Interview
Incomplete / Accidental Landline 911 Call,NTPLL - Ridgewalk Academic Bldg,12/20/2021,2112200055,12/20/2021,11:07 PM,,Logged Event
Suspicious Person,Galbraith Hall,12/20/2021,2112200057,12/20/2021,11:48 PM,,Unable To Locate
Petty Theft - Bicycle,Nuevo East - Capa,12/21/2021,T21000224,12/21/2021,12:45 PM,Loss $349.00,Online Report
Bicyclist Stop,Regents Rd / Regents Park Row,12/21/2021,2112210003,12/21/2021,1:24 AM,,Checks OK
Attempt Suicide,UCSD Residential Area,12/21/2021,2021-1501,12/21/2021,3:29 AM - 5:00 AM,,Transported To Hospital
Suspicious Person,Glider Port,12/21/2021,2112210010,12/21/2021,4:22 AM,Male walking around the area talking to self,Referred To Other Agency - San Diego Police Department
Security Alarm,Student Services Center,12/21/2021,2112210018,12/21/2021,7:55 AM,,False Alarm
Medical Aid,VA Hospital ,12/21/2021,2112210024,12/21/2021,9:31 AM,"Elderly male at VA trolley stop having reaction to medication, conscious and breathing",Referred To Other Agency - San Diego Fire Department
Grand Theft,Structural And Material Engineering Bldg,12/21/2021,2021-1503,12/21/2021,9:45 AM,"Unknown suspect(s) entered study room in public building, stole victim's unattended property, Loss $1, 950.00",Disposition Report Taken
Clery Incident - Rape,UCSD Residential Area,12/21/2021,2021-1504,12/9/2021,Unknown   ,,Report Taken
Hit & Run No Injuries,Tenaya Hall,12/21/2021,2021-1505,12/21/2021,Unknown,,Report Taken
Suspicious Person,Pangea Parking Structure,12/21/2021,2112210031,12/21/2021,11:35 AM,"Vehicle with 2 males holding door open, seen taking tools in and out of stairwell",Information Only
Suspicious Person,Voigt Dr / Equality Ln,12/21/2021,2112210032,12/21/2021,11:39 AM,"Report of 2 males carrying tools, possibly casing bikes in the area",Unable To Locate
Traffic Collision With Unknown Injury,Villa La Jolla Dr / La Jolla Village Dr,12/21/2021,2021-1506,12/21/2021,11:46 AM,,Report Taken
Suspicious Person,Leichtag Family Foundation Biomed Research,12/21/2021,2112210034,12/21/2021,11:59 AM,Unknown male talking on cell phone walking aggressively towards people,Unable To Locate
Welfare Check,Thornton Pavilion,12/21/2021,2112210035,12/21/2021,12:20 PM,"Female has not picked up infant from reporting party, related to case 2021-1500 12/20/2021",Report Taken
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,12/21/2021,2112210038,12/21/2021,2:20 PM,,Logged Event
Found Property,La Jolla Institute For Allergy And Immunology,12/21/2021,2112210039,12/21/2021,3:13 PM,,Service Provided
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,12/21/2021,2112210040,12/21/2021,3:22 PM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Gilman Parking Structure,12/21/2021,2112210044,12/21/2021,4:22 PM,,Logged Event
Petty Theft - Bicycle,One Miramar St,12/21/2021,T21000226,12/17/2021 - 12/18/2021,9:30 PM - 5:3.0 PM,Loss $500.00,Online Report
Person Down,Medical Center Dr North / Medical Center Dr South,12/22/2021,2112220002,12/22/2021,1:07 AM,Male subject lying on ground,Checks OK
Incomplete / Accidental Landline 911 Call,Jacobs Medical Center ,12/22/2021,2112220003,12/22/2021,2:00 AM,,Logged Event
Incomplete / Accidental Wireless 911 Call,Mesa Nueva - Cala,12/22/2021,2112220006,12/22/2021,5:54 AM,,Logged Event
Disturbance,Residence Inn,12/22/2021,2112220013,12/22/2021,9:53 AM,"Call via 911 emergency,  hotel refusing to refund money to reporting party",Referred To Other Agency - San Diego Police Department
Security Alarm,Extended Studies & Pub Prog K,12/22/2021,2112220014,12/22/2021,9:57 AM  ,,Cancelled
Incomplete / Accidental Wireless 911 Call,UCSD Police Department,12/22/2021,2112220019,12/22/2021,10:22 AM,,Disposition Logged Event
Medical Aid,Unknown Location,12/22/2021,2112220022,12/22/2021,10:34 AM,"Subject collapsed on beach, temporarily unresponsive",Referred To Other Agency - San Diego Fire Department
Non Injury Traffic Collision,La Jolla Village Dr / La Jolla Scenic ,12/22/2021,2112220027,12/22/2021,12:26 PM,,Referred To Other Agency - San Diego Police Department
Incomplete / Accidental Landline 911 Call,UCSD Police Department,12/22/2021,2112220028,12/22/2021,1:39 PM,,Logged Event
Welfare Check,Birch Aquarium ,12/22/2021,2112220031,12/22/2021,2:25 PM,Second hand information regarding male transient yelling profanities at passerby's,Unable To Locate
Incomplete / Accidental Landline 911 Call,UCSD Police Department,12/22/2021,2112220032,12/22/2021,2:30 PM  ,,Logged Event
Incomplete / Accidental Landline 911 Call,UCSD Police Department,12/22/2021,2112220033,12/22/2021,2:37 PM,,Logged Event
Suspicious Person,NTPLL - Scholars Parking,12/22/2021,2112220034,12/22/2021,2:56 PM,Male transient scoping out bikes and scooters in area,Unable To Locate
Medical Aid,Nobel Dr,12/22/2021,2112220035,12/22/2021,3:07 PM,Patient needs transport to UCSD emergency room,Referred To Other Agency - San Diego Fire Department
Suspicious Person,Campus Parking Structure East,12/22/2021,2112220037,12/22/2021,3:45 PM,Reporting party approached by 3 unknown subjects asking for a jump on their vehicle,Gone On Arrival
Information ,W. Arbor Dr,12/22/2021,2112220039,12/22/2021,4:27 PM,"Patient calling from hospital room phone, nurse said patient is okay",Information Only
Welfare Check,Hubbs Hall ,12/22/2021,2112220040,12/22/2021,4:32 PM  ,"Parent has not heard from student since October, no response to text or phone calls",Checks OK
Petty Theft,Pangea Parking Structure,12/22/2021,2021-1509,12/21/2021 - 12/22/2021,6:00 pm - 2:00 pm,"Unknown suspect(s) gained entry into vehicle by unknown means, no signs of forced entry, Loss $140.00",Report Taken
Incomplete / Accidental Landline 911 Call,NTPLL - Tapestry,12/22/2021,2112220045,12/22/2021,5:35 PM,,Logged Event
Information ,Muir College Dr,12/22/2021,2112220046,12/22/2021,5:55 PM,Community Service Officer found vehicle in bike lane with airbags deployed,Information Only
Security Alarm,Biomedical Sciences Bldg,12/22/2021,2112220049,12/22/2021,6:39 PM,,False Alarm
Suspicious Person,Biomedical Sciences Bldg,12/22/2021,2112220052,12/22/2021  ,7:12 PM,Unknown subject sleeping in women's restroom,Field Interview
Reckless Driving,Interstate 5 North Bound,12/22/2021,2112220053,12/22/2021,7:38 PM,,Referred To Other Agency - California Highway Patrol
Information ,Russell Ln / Gilman Dr,12/22/2021,2021-1510,12/22/2021,7:43 PM - 8:00 PM,"Report of a street light on fire, due to mechanical issue",Report Taken
Suspicious Person,Structural And Material Engineering Bldg,12/22/2021,2112220057,12/22/2021,8:56 PM,Transient inside building on first floor,Unable To Locate
Petty Theft - Bicycle,One Miramar St,12/22/2021,T21000227,12/22/2021,9:25 PM,"Unknown suspect(s) entered locked bike room, stole victim's bicycle seat, no signs of forced entry, Loss $100.00",Online Report
UC Policy Violation,Mesa Nueva - Cresta,12/22/2021,2112220060,12/22/2021  ,9:37 PM,Report of 8 subjects inside gym,Will Cooperate
Medical Aid,Nuevo West,12/23/2021,2112230008,12/23/2021,4:12 AM,"Young adult male feeling ill, passed out but now conscious and breathing",Referred To Other Agency - San Diego Fire Department
Security Alarm,Price Center,12/23/2021,2112230017,12/23/2021,9:32 AM,,False Alarm
Incomplete/ Accidental Wireless 911 Call,Nuevo East - Exchange,12/23/2021,2112230019,12/23/2021,9:55 AM,,Logged Event
Medical Aid ,Via Siena ,12/23/2021,2112230020,12/23/2021,10:03 AM,Subject fell off bed and is unconscious ,Referred to Other Agency - San Diego Fire Department
Incomplete/ Accidental Wireless 911 Call,UCSD Police Department,12/23/2021,2112230035,12/23/2021,2:56 PM,,Logged Event
Disturbance - Fight,Oceanside Beach,12/23/2021,2112230036,12/23/2021,3:21 PM,,Disposition Referred to Other Agency - Oceanside Police Department
Ticket Sign Off,UCSD Police Department,12/23/2021,2112230038,12/23/2021,3:45 PM,,Service Provided
Ticket Sign Off,UCSD Police Department,12/23/2021,2112230040,12/23/2021,4:23 PM,,Service Provided
Incomplete/ Accidental Wireless 911 Call,Regents Park Row/ Regents Rd,12/23/2021,2112230041,12/23/2021,4:28 PM,,Logged Event
Traffic Hazard,Interstate 5/ Nobel Dr,12/23/2021,2112230044,12/23/2021,5:08 PM,,Logged Event
Fire Alarm ,North America Hall,12/23/2021,2112230049,12/23/2021,6:02 PM,,False Alarm
Battery on Spouse,UCSD Residential Area,12/23/2021,2021-1513,12/23/2021,7:40 PM,,Closed by Adult Arrest
Identity Theft,Seventh College West,12/23/2021,2112230054,12/23/2021,8:54 PM,Reporting party never got a check in the mail that was cashed,Referred to Other Agency 
Hazard Situation,Gilman Parking Structure ,12/23/2021,2112230057,12/23/2021,10:28 PM,Sign falling down and blocking traffic from entering structure ,Referred to Other UCSD Department - Central Plant
Fire Alarm,Price Center ,12/23/2021,2112230060,12/23/2021,11:57 PM,,False Alarm
Fire,UCSD Medical Department - La Jolla,12/23/2021,LJ21-12-22-0684,12/22/2021,1:56 AM,Steam from shower set off smoke detector,False Alarm
Fire Alarm,Price Center West,12/24/2021,2112240001,12/24/2021,3:25 AM,,False Alarm
Fire Alarm,Marshall Upper Apartments J,12/24/2021,2112240004,12/24/2021,6:55 AM,,False Alarm
Unknown Injury Collision,Interstate 5/Sorrento,12/24/2021,2112240006,12/24/2021,7:19 AM,,Referred To Other Agency - California Highway Patrol
Signal Light Malfunction,North Torrey Pines Rd/Pangea Dr,12/24/2021,2112240009,12/24/2021,7:57 AM,,Referred To Other UCSD Department - City Shops
Traffic Hazard,Interstate 5/Genesee Ave,12/24/2021,2112240013,12/24/2021,9:37 AM,Male walking on interstate,Referred To Other Agency - California Highway Patrol
Welfare Check,Nuevo East - Piedra,12/24/2021,2112240016,12/24/2021,10:38 PM,"Patent unable to get a hold of student, who was relocated to quarantine",Disposition Unable To Locate
Suspicious Person,Birch Aquarium,12/24/2021,2112240017,12/24/2021,11:22 AM,"Transient male inside gift shop, not complying with face covering policy",Information Only
UC Policy Violation,Central Mesa Apartments,12/24/2021,2112240018,12/24/2021,11:29 AM,"Odor of marijuana, continuous issue",Checks OK
Fire Alarm,Tuolumne Apartments,12/24/2021,2112240024,12/24/2021,2:20 PM,,False Alarm
Incomplete/Accidental Landline 911 Call,UCSD Police Department,12/24/2021,2112240025,12/24/2021,3:12 PM,,Logged Event
Fire Alarm,Tuolumne Apartments,12/24/2021,2112240049,12/24/2021,10:35 PM,,False Alarm
Quiet Hours Contact,Mesa Nueva - Cresta,12/24/2021,2112240050,12/24/2021,11:13 PM,,Will Cooperate
Unknown Injury Collision,Interstate 5,12/25/2021,2112250001,12/25/2021,12:50 AM,"Vehicle with lights off in middle of interstate, possible collision",Referred To Other Agency - California Highway Patrol
Suspicious Person,Nuevo East - Exchange,12/25/2021,2112250002,12/25/2021,2:49 AM,,Checks OK
Fire Alarm,Tuolumne Apartments,12/25/2021,2112250003,12/25/2021,3:07 AM,,Referred To Other UCSD Department - Housing Maintenance
Welfare Check,John M. & Sally B. Thornton Pavilion,12/25/2021,2112250006,12/25/2021,6:24 AM,Caller concerned for relative who made concerning statements over phone,Service Provided
Medical Aid,La Jolla Shores  Dr,12/25/2021,2112250013,12/25/2021,10:36 AM,Adult female advising she accidentally took too much medication,Referred To Other Agency - San Diego Fire Department
Unknown Trouble,San Elijo,12/25/2021,2112250016,12/25/20201,11:40 AM,"Per passerby, female inside vehicle asking for police",Disposition Referred To Other Agency
Fire,Costa Verde Blvd.,12/25/2021,2112250022,12/25/2021,12:43 PM,Fire hallway,Referred To Other Agency - San Diego Fire Department
Incomplete/Accidental Landline 911 Call,UCSD Police Department,12/25/2021,2112250024,12/25/2021,1:26 PM,,Logged Event
Incomplete/Accidental Landline 911 Call,UCSD Police Department,12/25/2021,2112250025,12/25/2021,1:28 PM,,Logged Event
Medical Aid,Trolley - Central Campus Stop,12/25/2021,2112250029,12/25/2021,3:34 PM,Fire Department received 911 hang-up for a male requesting paramedics,Referred To Other Agency - San Diego Fire Department
Incomplete/Accidental Wireless 911 Call,UCSD Police Department,12/25/2021,2112250044,12/25/2021,8:37 PM,Misdial,Logged Event
Reckless Driving,Genesee Ave/La Jolla Village Dr,12/25/2021,2112250050,12/25/2021,9:44 PM,,Referred To Other Agency - San Diego Police Department
Information,La Jolla Village Dr/Gilman Dr,12/25/2021,2112250054,12/25/2021,10:28 PM,"Report of vehicle running red lights, before entering onto campus",Information Only
Reckless Driving,Lot 304,12/25/2021,2112250055,12/25/2021,10:30 PM,Two vehicles doing donuts,Referred To Student Conduct
Fire Alarm,Tenaya Hall,12/26/2021,2112260002,12/26/2021,12:15 AM,,False Alarm
Welfare Check,Nuevo East,12/26/2021,2112260012,12/26/2021,9:44 AM,Student with positive COVID test not responding to phone calls or messages,Checks OK
Vandalism,Lot 703,12/26/2021,2021-1514,12/22/2021 - 12/26/2021,5:00 AM - 10:05 AM,"Unknown suspect(s) vandalized lock from gate, damage $50.00",Report Taken
Suspicious Person,Rebecca and John Moores Cancer Center,12/26/2021,2112260015,12/26/2021,11:14 AM,Male blowing kisses at reporting party ,Gone On Arrival
Medical Aid,Roots and Pines ,12/26/2021,2112260028,12/26/2021,3:05 PM,Female complaining of stomach pain,Service Provided
Security Alarm,Leichtag ,12/26/2021,2112260045,12/26/2021,7:56 PM,,Disposition False Alarm
Medical Aid,Trolley ,12/26/2021,2112260046,12/26/2021,8:17 PM,"Subject with chest pain, vomiting and passing out",Information Only
Suspicious Person,Ida and Cecil Green Faculty Club,12/26/2021,2112260049,12/26/2021,9:12 PM,Male walking around lot,Will Cooperate 
Medical Aid,Mesa Nueva - Ola,12/26/2021,2112260056,12/26/2021,10:56 PM,Female suffering from carbon dioxide poisoning,Referred to Other Agency - San Diego Fire Department
